location,unemployment,count
Democratic People’s Republic of Korea,,1
Jordan Central Bank,,3
Republic of Paraguay,5.28000020980835,2
Masākin Shirkat Abū al Wafā lil Muqāwalāt wa al Istithmār al ‘Aqārī,,2
Little Rock,,1
Christian County,,1
Isreal Coffin Cemetery,,2
Republic of Chile,9.02000045776367,1
Birmingham,5.34999990463257,4
5ème Arrondissement,,1
Burkina Faso,3.64000010490417,1
Fairbanks,,1
Cass County,,3
Southern Province,,1
Husum-Schwesing Airport,,1
Kingdom of Norway,3.40000009536743,5
Islamic Republic of Pakistan,0.579999983310699,2
Jakarta,7.55000019073486,2
Nice Day Inn,,1
Phoenix,,2
Cape Coast,,3
Marital,,1
Republic of Uganda,2.21000003814697,2
New Delhi,,1
Corporal,,1
Province 2,,2
Messenger Bay,,3
Guam,8.30000019073486,1
Swift Current,,1
Administrative Zone 3,,3
Malabo,,1
Mendihuaca Caribbean Resort,,1
Ramallah,18.2800006866455,1
Democratic Socialist Republic of Sri Lanka,5.96999979019165,1
Embassy of the Kingdom of Swaziland,,1
Marbella,,3
Hamilton Creek Indian Reserve 2,,1
Georgia Regional Hospital at Atlanta,,1
San Luis Obispo County,,1
Tigris River,,1
Shanghai,4.30000019073486,1
Lake Grace,,1
Washington,4.61999988555908,1
Cambridgeshire,5.26000022888184,1
Wansford,,1
Los Angeles,,2
Boston,,2
Mississippi,4.61999988555908,1
Birmingham Airport,,2
La Hague,,1
"ALPHA BANK, Agenția Băneasa",,1
Overland Park,,3
Persian Gulf International Airport,,2
Las Palmas de Gran Canaria,,2
Newcastle upon Tyne,5.26000022888184,3
Western Sahara,,1
